  0.0000000000E+000  0.0000000000E+000
  1.7000277845E+003  9.4644443949E+037
  3.4000314680E+003  1.0602656957E+038
  5.1000304647E+003  1.1286024219E+038
  6.8000404301E+003  1.1713607866E+038
  8.5000353761E+003  1.1979075681E+038
  1.0200025954E+004  1.2133905921E+038
  1.1900030485E+004  1.2216968818E+038
  1.3600044968E+004  1.2257970266E+038
  1.5300047290E+004  1.2279353468E+038
  1.7000024971E+004  1.2295681924E+038
  1.8700023939E+004  1.2314012361E+038
  2.0400038511E+004  1.2338118788E+038
  2.2100037004E+004  1.2368646661E+038
  2.3699584608E+004  1.2402894639E+038
