t_from_discovery,line,absorption_mean_velocity,absorption_std_velocity
22,FeII 5169,6200,100
34,FeII 5169,4700,120
36,FeII 5169,4600,100
43,FeII 5169,4100,130
49,FeII 5169,3700,100
56,FeII 5169,3000,140
75,FeII 5169,2900,150
100,FeII 5169,2400,100
108,FeII 5169,2200,100
