t_from_discovery,line,absorption_mean_velocity,absorption_std_velocity
21.3,FeII 5169,7973,47
40.3,FeII 5169,5231,60
46.3,FeII 5169,4955,77
50.3,FeII 5169,4697,103
66.3,FeII 5169,4050,49
75.3,FeII 5169,3842,134
79.3,FeII 5169,3749,153
81.3,FeII 5169,3676,155
107.3,FeII 5169,3172,152
109,FeII 5169,3178,150
123.1,FeII 5169,2610,168
125,FeII 5169,2594,174
138,FeII 5169,2289,169
140,FeII 5169,2369,200
148.9,FeII 5169,2411,176
