t_from_discovery,line,absorption_mean_velocity,absorption_std_velocity
8.415945371,FeII 5169,5140,257
9.48416145,FeII 5169,4760,238
14.33605878,FeII 5169,4030,201.5
14.4159254,FeII 5169,4010,200.5
17.32107381,FeII 5169,3600,180
18.38928989,FeII 5169,3600,180
22.41257101,FeII 5169,3180,159
34.38258109,FeII 5169,2260,113
44.33595895,FeII 5169,2070,103.5
61.2776663,FeII 5169,1660,83
