t_from_discovery,line,absorption_mean_velocity
16,FeII 5169,8600
20,FeII 5169,7700
26,FeII 5169,6555
31,FeII 5169,5600
45,FeII 5169,4500
55,FeII 5169,4150
61,FeII 5169,3500
66,FeII 5169,3500
104,FeII 5169,2900
26.16,FeII 5169,6650.6
31.31,FeII 5169,5397.59
42.82,FeII 5169,4710.84
48.09,FeII 5169,4325.3
50.23,FeII 5169,4216.86
58.82,FeII 5169,3843.37
79.91,FeII 5169,3433.73
94.74,FeII 5169,2915.66
