,t_from_discovery,temp,dtemp0,dtemp1,radius,dradius0,dradius1,Lum,dLum0,dLum1
0,15.820500000103493,12.665612676254558,0.3266337420138914,0.3657857904616044,11655201468.986887,447515917.06140286,439398546.9068938,9.81081459443864e+35,7.895607169753952e+33,7.739105532060482e+33
1,33.67669999990903,6.7614021440777154,0.05571095511343671,0.06640876313435928,27929637275.669235,578384199.3715087,486601179.808918,6.783805782266588e+35,4.186976981280576e+33,4.6511188445321996e+33
2,34.77410000022792,6.829442119526423,0.05915592076539955,0.05255089827847925,27819602891.3822,396624786.13348806,422804633.94695234,7.02176835525347e+35,6.018777738051992e+33,4.776226657655359e+33
3,36.717799999940326,5.921842589663852,0.10767426176035677,0.12534532063688086,35089921621.66345,1732206398.905227,1706912990.773696,6.02833890823905e+35,1.3070073845527494e+34,1.39702434456993e+34
4,40.65809999984049,6.271362954149147,0.07042638015641778,0.06511251388066963,32144939428.88005,727074491.2588438,724621416.6216804,6.4997357232765144e+35,4.180147108576536e+33,4.970113374826211e+33
5,44.63559999987774,5.743362876783758,0.03044417309297387,0.03316236540231454,35918604367.330475,455145050.1422207,477703887.7343441,5.4742100855737245e+35,3.3765592352012605e+33,3.872368556779711e+33
6,46.631650000068475,5.506975516200324,0.03741164078681436,0.034976464908308635,39703988017.34869,541382234.0817152,662556867.7562182,5.48690859540799e+35,3.605125443165498e+33,4.0072827570690814e+33
7,48.66549999984272,5.042522211416454,0.0419278095735196,0.03856974103009847,49263412394.07544,1238896234.4499035,1148250446.641222,5.4624390853112056e+35,6.830589652163396e+33,5.709890006624468e+33
8,56.66640000017651,5.156742501898403,0.03071019020967114,0.03693423155854614,41764995611.69864,779966191.8218471,659976505.3490703,4.397910922652174e+35,3.2477967233163413e+33,3.3644818092662234e+33
9,63.70040000016161,4.994171032519894,0.0538577407210683,0.06671587594897144,43588556923.96672,1359222822.0574067,1311070947.7474856,4.078536039749132e+35,4.787217515567147e+33,4.729795703382951e+33
10,67.61710000010498,4.60200792635645,0.0788840452881372,0.10760370578165546,53885593716.2066,3078903156.972553,2530592675.311076,4.0513271452846736e+35,5.027977939623916e+33,5.419201812250929e+33
11,71.73220000015863,4.669759463906236,0.026909968694742048,0.024649446034439748,49740755524.66153,743055759.4853243,864033182.1912413,3.740072537026537e+35,2.392919296555391e+33,2.392386622508782e+33
12,78.65740000009828,4.390458000169287,0.040134735735104066,0.04494418670294209,57632966591.27515,1783031758.4777112,1585298645.2540984,3.582421736364694e+35,3.1531727410239505e+33,3.7472969102504535e+33
13,89.5118999999977,4.13644117475424,0.06170934109450865,0.07596132485132134,62436968395.2506,3011392876.078738,2983320039.511268,3.0081676744873804e+35,2.3145605210314877e+33,3.1590011578738757e+33
14,95.58720000014,4.516918913402092,0.04835043052311505,0.04840587557399889,43928765471.0453,1275782123.455661,1578805368.4118526,2.4460841127681845e+35,2.746536068705445e+33,2.137480989954043e+33
15,112.73710000021674,4.065587721599083,0.02634475558217808,0.02644843925985807,52628709121.28281,1054688731.6674389,1061453168.752442,1.9287017613546193e+35,1.572108696626273e+33,1.3516045157812043e+33
16,117.75069999993138,4.159714481280938,0.04073659060710355,0.03198454680634111,44011130686.54151,955869871.8831916,1191627610.8736415,1.5424091973886582e+35,2.016030814161317e+33,1.318880844994062e+33
17,127.7024999998539,4.215652269413757,0.07246947581075602,0.07130955133402583,41408444220.168846,2033898511.257965,1750218586.5051513,1.4625599354347787e+35,1.833695840652561e+33,2.1862405364182304e+33
18,131.73010000000068,3.43593049460055,0.0535278153190486,0.06799263082782492,72917406883.53197,5547047648.523251,5014254067.325888,1.3068677605857442e+35,4.3341969905557874e+33,3.7642376305211515e+33
19,135.662049999999,4.181876431207629,0.030538905008401507,0.028921053825166965,29925540563.367943,618192123.556719,733227757.4373194,7.347718960433189e+34,7.418064056810889e+32,5.744073216161411e+32
20,146.69999999990978,3.394654461609424,0.05714310884528917,0.059721405606310896,51217867189.08324,3201862336.446309,3428123202.6361446,5.977940587013e+34,1.3025366809734012e+33,1.1916078733146082e+33
21,159.4512000001996,4.339470390346804,0.0685201236783346,0.061889377484432906,19157918125.344955,804143323.5089613,938756465.4403812,3.7204658174113724e+34,5.1125019487798145e+32,4.658716005849666e+32
22,162.64819999989413,4.016230706161991,0.08347694789380178,0.07031498035660988,30525846992.091183,1657974895.3861775,1889586556.1127167,6.00406495502507e+34,9.142204088701567e+32,9.868257526442695e+32
23,165.62390000019514,3.6121951783460315,0.09415359951541813,0.09042123227572896,39227100411.15529,2962340970.0090013,3555424049.7116957,5.257329624528857e+34,1.1656243892413215e+33,1.2000315119685901e+33
24,168.4748000001564,4.153925097313751,0.14993172070902183,0.19950087766123215,23361282740.835445,3112450114.228391,3025801955.5118985,4.334163356585482e+34,1.3245982230142052e+33,1.225538036768991e+33
25,169.48289999990084,4.599938647875467,0.2030141374297587,0.258981379488997,18669765730.000454,2220379665.3893833,2428774978.216157,4.908721752357039e+34,1.9063256642897967e+33,1.892398520043485e+33
26,381.7540000000081,5.112214560188479,0.45966551853978466,0.443321484447198,5408486757.784796,1129430131.8559234,1660080841.242593,7.002578549906419e+33,4.872835950897949e+32,5.1366403226671924e+32
